config_id,config,city,query_v
c_p_143_pop_high_hard,"{'p_id': 'p_143', 'persona': 'A former printing press worker who witnessed the transition from print to digital media', 'filters': {'popularity': 'high', 'month': 'February', 'budget': 'high', 'interests': 'Arts & Entertainment'}}","['Zurich', 'Warsaw', 'Vienna', 'Valencia', 'Toulouse', 'Stuttgart', 'Strasbourg', 'Stockholm', 'Salzburg', 'Rome', 'Prague', 'Porto', 'Paris', 'Naples', 'Munich', 'Milan', 'Madrid', 'Lyon', 'London', 'Ljubljana', 'Lille', 'Helsinki', 'Hamburg', 'Geneva', 'Dublin', 'Dresden', 'Cork', 'Copenhagen', 'Cagliari', 'Brussels', 'Bordeaux', 'Bologna', 'Berlin', 'Bergen', 'Barcelona', 'Amsterdam']","""Recommend European cities for a high-budget trip in March with a focus on arts, culture, and nightlife, avoiding cities with low seasons."""
c_p_15_pop_high_hard,"{'p_id': 'p_15', 'persona': 'A patient who seeks therapy and values evidence-based approaches to address their mental health concerns', 'filters': {'popularity': 'high', 'month': 'December', 'interests': 'Shops & Services', 'budget': 'high'}}","['Zurich', 'Vienna', 'Stuttgart', 'Stockholm', 'Salzburg', 'Porto', 'Naples', 'Madrid', 'Lyon', 'London', 'Ljubljana', 'Helsinki', 'Geneva', 'Dublin', 'Dresden', 'Cork', 'Brussels', 'Berlin', 'Bergen', 'Barcelona', 'Amsterdam']","""High budget European cities to visit in December with popular attractions and seasonal activities."""
c_p_5_pop_high_hard,"{'p_id': 'p_5', 'persona': 'an average Ukrainian citizen who is indifferent to politics', 'filters': {'popularity': 'high', 'budget': 'high', 'month': 'September', 'interests': 'Outdoors & Recreation'}}","['Zurich', 'Warsaw', 'Valencia', 'Toulouse', 'Stuttgart', 'Stockholm', 'Salzburg', 'Prague', 'Porto', 'Paris', 'Naples', 'Munich', 'Madrid', 'Lyon', 'London', 'Ljubljana', 'Helsinki', 'Geneva', 'Dublin', 'Dresden', 'Cork', 'Copenhagen', 'Cagliari', 'Brussels', 'Bologna', 'Berlin', 'Bergen', 'Barcelona', 'Amsterdam']","""Popular and expensive European cities to visit in September with lakes, gardens, and historical landmarks."""
c_p_155_pop_high_hard,"{'p_id': 'p_155', 'persona': 'a digital transformation consultant specializing in the food and beverage industry', 'filters': {'popularity': 'high', 'interests': 'Outdoors & Recreation', 'month': 'September', 'budget': 'high'}}","['Zurich', 'Warsaw', 'Valencia', 'Toulouse', 'Stuttgart', 'Stockholm', 'Salzburg', 'Prague', 'Porto', 'Paris', 'Naples', 'Munich', 'Madrid', 'Lyon', 'London', 'Ljubljana', 'Helsinki', 'Geneva', 'Dublin', 'Dresden', 'Cork', 'Copenhagen', 'Cagliari', 'Brussels', 'Bologna', 'Berlin', 'Bergen', 'Barcelona', 'Amsterdam']","""European city breaks in September with high-end activities and sightseeing opportunities."""
c_p_116_pop_high_hard,"{'p_id': 'p_116', 'persona': 'An entrepreneurial florist who creates arrangements for hospital patients to brighten their rooms', 'filters': {'popularity': 'high', 'month': 'October', 'interests': 'Outdoors & Recreation', 'budget': 'high'}}","['Zurich', 'Warsaw', 'Valencia', 'Toulouse', 'Stuttgart', 'Stockholm', 'Salzburg', 'Prague', 'Porto', 'Paris', 'Naples', 'Munich', 'Madrid', 'Lyon', 'London', 'Ljubljana', 'Helsinki', 'Geneva', 'Dublin', 'Dresden', 'Cork', 'Copenhagen', 'Cagliari', 'Brussels', 'Bologna', 'Berlin', 'Bergen', 'Barcelona', 'Amsterdam']",High budget European city breaks in October with outdoor activities and sightseeing.
c_p_162_pop_high_medium,"{'p_id': 'p_162', 'persona': 'An experienced LaTeX user familiar with software troubleshooting', 'filters': {'popularity': 'high', 'interests': 'Nightlife Spot', 'month': 'September'}}","['Zurich', 'Zagreb', 'Volgograd', 'Vilnius', 'Vienna', 'Valencia', 'Tirana', 'Tbilisi', 'Tallinn', 'Stuttgart', 'Sofia', 'Sarajevo', 'Samara', 'Salzburg', 'Prague', 'Porto', 'Paris', 'Nicosia', 'Naples', 'Munich', 'Minsk', 'Madrid', 'Lyon', 'London', 'Ljubljana', 'Lille', 'Kazan', 'Kaliningrad', 'Geneva', 'Dublin', 'Dresden', 'Cork', 'Copenhagen', 'Budapest', 'Brussels', 'Bratislava', 'Bordeaux', 'Bologna', 'Berlin', 'Bergen', 'Belgrade', 'Baku', 'Ankara', 'Amsterdam']","""European cities with vibrant nightlife and popular museums to visit in September."""
c_p_113_pop_high_medium,"{'p_id': 'p_113', 'persona': 'a Jewish politics enthusiast from the United States', 'filters': {'popularity': 'high', 'budget': 'high', 'interests': 'Outdoors & Recreation'}}","['Zurich', 'Warsaw', 'Valencia', 'Toulouse', 'Stuttgart', 'Stockholm', 'Salzburg', 'Prague', 'Porto', 'Paris', 'Naples', 'Munich', 'Madrid', 'Lyon', 'London', 'Ljubljana', 'Helsinki', 'Geneva', 'Dublin', 'Dresden', 'Cork', 'Copenhagen', 'Cagliari', 'Brussels', 'Bologna', 'Berlin', 'Bergen', 'Barcelona', 'Amsterdam']","""European city breaks with high-end cultural experiences and outdoor activities."""
c_p_130_pop_high_medium,"{'p_id': 'p_130', 'persona': 'A fervent collector of air rifles.', 'filters': {'popularity': 'high', 'interests': 'Food', 'budget': 'high'}}","['Zurich', 'Warsaw', 'Vienna', 'Valencia', 'Toulouse', 'Stuttgart', 'Strasbourg', 'Stockholm', 'Salzburg', 'Rome', 'Prague', 'Porto', 'Paris', 'Naples', 'Madrid', 'Lyon', 'London', 'Ljubljana', 'Lille', 'Helsinki', 'Hamburg', 'Geneva', 'Dublin', 'Dresden', 'Cork', 'Cagliari', 'Brussels', 'Bordeaux', 'Bologna', 'Berlin', 'Bergen', 'Barcelona', 'Amsterdam']",What are some European cities with high-end restaurants and bars that are great for a luxurious city trip?
c_p_131_pop_high_medium,"{'p_id': 'p_131', 'persona': 'A metal supplier who provides the finest quality materials for train restoration projects', 'filters': {'popularity': 'high', 'interests': 'Nightlife Spot', 'month': 'March'}}","['Zurich', 'Zagreb', 'Volgograd', 'Vilnius', 'Vienna', 'Valencia', 'Tirana', 'Tbilisi', 'Tallinn', 'Stuttgart', 'Sofia', 'Sarajevo', 'Samara', 'Salzburg', 'Prague', 'Porto', 'Paris', 'Nicosia', 'Naples', 'Munich', 'Minsk', 'Madrid', 'Lyon', 'London', 'Ljubljana', 'Lille', 'Kazan', 'Kaliningrad', 'Geneva', 'Dublin', 'Dresden', 'Cork', 'Copenhagen', 'Budapest', 'Brussels', 'Bratislava', 'Bordeaux', 'Bologna', 'Berlin', 'Bergen', 'Belgrade', 'Baku', 'Ankara', 'Amsterdam']",What are some European cities with great nightlife and cultural attractions that are less crowded in March?
c_p_94_pop_high_medium,"{'p_id': 'p_94', 'persona': 'A popular Twitch streamer with a large following, known for their exceptional multiplayer gameplay', 'filters': {'popularity': 'high', 'budget': 'low', 'interests': 'Outdoors & Recreation'}}","['Zagreb', 'Tirana', 'Tbilisi', 'Sofia', 'Samara', 'Riga', 'Perm', 'Moscow', 'Minsk', 'Krasnodar', 'Kazan', 'Kaliningrad', 'Izmir', 'Baku', 'Ankara']","""Looking for a budget-friendly European city break with outdoor activities, cultural experiences, and a lively atmosphere."""
